Time,Time Code,Country Name,Country Code,Age dependency ratio (% of working-age population) ,"Agriculture, value added (% of GDP) ","Agriculture, value added (annual % growth) ","Agriculture, value added (constant 2005 US$) ",Consumer price index (2010 = 100) ,Export value index (2000 = 100) ,Export volume index (2000 = 100) ,Exports of goods and services (% of GDP) ,Exports of goods and services (annual % growth) ,"Foreign direct investment, net inflows (% of GDP) ","Foreign direct investment, net outflows (% of GDP) ",Fuel exports (% of merchandise exports) ,GDP growth (annual %) ,GDP per capita (constant 2005 US$) ,"GDP per capita, PPP (constant 2011 international $) ",GDP per person employed (constant 1990 PPP $) ,GINI index (World Bank estimate) ,Gross capital formation (% of GDP) ,Gross capital formation (annual % growth) ,"Gross fixed capital formation, private sector (% of GDP) ",High-technology exports (% of manufactured exports) ,ICT goods imports (% total goods imports) ,Imports of goods and services (% of GDP) ,"Industry, value added (% of GDP) ","Industry, value added (annual % growth) ","Industry, value added (constant 2005 US$) ","Inflation, consumer prices (annual %) ",International migrant stock (% of population) ,"Manufacturing, value added (% of GDP) ","Manufacturing, value added (annual % growth) ","Manufacturing, value added (constant 2005 US$) ","Personal remittances, paid (current US$) ","Personal transfers, receipts (BoP, current US$) ",Population ages 0-14 (% of total) ,"Population ages 0-14, total ",Population ages 15-64 (% of total) ,"Population ages 15-64, total ",Population ages 65 and above (% of total) ,"Population ages 65 and above, total ",Population density (people per sq. km of land area) ,Population growth (annual %) ,"Population, total ",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) ,Rural population ,Rural population (% of total population) ,Tax revenue (% of GDP) ,Urban population ,Urban population (% of total) 
2016-01-01,YR2016,Algeria,DZA,53.9078874261101,12.295779686707,1.80000000238283,19614853192.7692,134.844870195013,131.0999178,144.9360226,21.0017584940326,7.90000000226179,1.02947518020851,0.0294232818669463,93.9921282481577,3.29999999975597,4827.72425138732,13921.1800218255,52936.99609375,,50.709062631992,4.25230333057138,,0.343523928820444,5.1810220711,35.2702837924584,34.8749084425281,5.34460249251212,96148989584.4132,6.397714109,,5.60536130360169,,,58970227.8597211,16968009.5282417,29.0052379384236,11777882.0,64.973928024325,26383347.0,6.02083403725139,2444823.0,17.0488949050296,1.82546343244561,40606052.0,,11589373.0,28.541,,29016679.0,71.459
2016-01-01,YR2016,Argentina,ARG,56.5422464275751,6.35390413957503,-4.53815894977147,30306711326.5758,,219.1746707,124.3660983,12.5838323891873,5.29266934793135,0.587564212452168,0.321978137189706,2.53245061230712,-1.82254217028903,10206.2495504416,18584.580004917,45039.30859375,42.4,17.0270224716302,-3.53011223498821,,8.79281472735163,8.478811845,13.5380814169803,22.1874978578954,-5.52942493474478,102971969356.105,,,13.6009428617082,-5.19941824629092,64594492438.2642,823565671.520054,352639302.322353,25.0586568015503,10987577.0,63.8805193371653,28009966.0,11.0608238612845,4849887.0,16.0220668033281,0.984741905647839,43847430.0,0.6,3671345.0,8.373,12.1555053704666,40176085.0,91.627
2016-01-01,YR2016,Australia,AUS,51.8630483195639,2.4305798250667,-6.39097744360903,25061674224.3606,113.475546305931,299.2810441,165.1456124,19.2530266256288,6.86528627377531,3.52471986219263,-0.20730251757587,27.6539209096296,2.82731051096303,55731.4955736202,44493.4808943831,89515.015625,,25.295492177652,-4.18131522463177,,14.7815586115506,9.9972448891,21.5184465691816,22.258261609396,0.811625844306477,329346874863.039,1.276990945,,6.06747151730172,-2.36202148702634,84941300222.8155,6309637353.01638,,18.8983035953804,4575432.0,65.8488024959786,15942528.0,15.2528939086411,3692849.0,3.15150527836716,1.49820974240174,24210809.0,,3437935.0,14.2,22.2892931084765,20772874.0,85.8
2016-01-01,YR2016,Austria,AUT,49.5298368459148,1.10158899771897,2.66138021888933,5366899002.92791,111.675470271742,225.3503917,149.8618785,52.2618340403307,1.91540868438524,-7.66336096729233,-7.32537674811396,1.70589776180728,1.45091543821485,48077.8783610298,44464.3502683082,90842.6328125,,24.1181440245785,3.47954498132232,,17.5747647786539,7.4494258902,48.9051786808671,24.7109938009083,1.17067848325405,108241303758.959,0.891590693,,16.2069768397641,1.29132987519694,74048756769.5873,4523562276.56779,300808432.749612,14.0962544551354,1231543.0,66.8762899389668,5842759.0,19.0274556058978,1662366.0,105.869490929801,1.08139629872802,8736668.0,,3677700.0,42.095,25.6665724682797,5058968.0,57.905
2016-01-01,YR2016,Belgium,BEL,54.7983939052332,0.61749191345839,-9.09447435959203,3281171794.43556,110.773882150291,211.7955741,144.7300771,82.9377757420786,7.51720407031749,7.9164959229974,6.14270247407187,6.82584136026284,1.41229201545339,45457.8993419591,42083.6443038217,102947.125,,23.9515886339849,4.64887898232624,,12.536063077866,3.0037730284,81.6069268870647,19.7909233893634,0.703243023081583,109101223156.193,1.972249752,,12.7422650265829,0.349411429841282,71400477359.5596,3890062783.89885,79716874.0421988,17.0312418699887,1929882.0,64.6001511307203,7320116.0,18.368606999291,2081424.0,374.221334214003,0.506300002451376,11331422.0,,235807.0,2.081,23.1360261343397,11095615.0,97.919
2016-01-01,YR2016,Bangladesh,BGD,51.4654234704502,14.0455478408371,2.78626575012358,23953859576.1649,152.324266432058,547.3686023,475.7667992,16.6497168819452,2.1967496434186,1.0509521880987,0.0182669952038158,,7.11346522765494,1029.57797933458,3319.35280468543,8648.796875,32.4,29.652568750791,8.90937215069245,22.9877860561105,,,21.3045838515747,27.3461207595266,11.0937753711692,49589945623.8922,5.513525727,,17.0302488303033,11.6908152010428,33231001182.1894,41124317.5239393,13518741980.8852,28.9008537261012,47094392.0,66.0216686480326,107583339.0,5.07747762586624,8273829.0,1251.83652147192,1.08016523912062,162951560.0,14.8,105783264.0,64.917,8.76502866324685,57168296.0,35.083
2016-01-01,YR2016,Brazil,BRA,43.6443157926871,4.89138608590072,-4.31146923784834,102493376407.802,150.482602233368,336.1458429,215.5356645,12.4946188451866,1.91579365583262,4.36169775270045,0.714395993147449,6.34469227953539,-3.46816285562616,10868.6534435351,14077.1214085544,31919.783203125,,15.3872398501635,,,13.4487063167767,8.4376375676,12.0796638879327,18.2787914324856,-3.96007093571662,483812026283.053,8.739478523,,10.3085269326859,-5.57275920678872,237988187749.806,1385076006.47,2365066659.73,22.1362691046907,45966597.0,69.6163989839485,144560447.0,8.24733191136082,17125821.0,24.844387028693,0.817555711392756,207652865.0,,28984187.0,13.958,12.8508409027201,178668678.0,86.042
2016-01-01,YR2016,Canada,CAN,48.2439168641162,,3.89353412326656,26413479840.517,110.224670864339,141.1089588,113.9342388,30.9678772747415,0.998541517171688,2.25372888493377,4.61003183929919,18.2840268524269,1.41410274557691,50407.3413301242,43238.2596047198,84310.8125,,23.1849967526502,-3.85380920890056,,12.9347142393499,7.073490373,33.3842297689125,,-0.805721557112875,479238620312.456,1.428759547,,,0.481523908401257,181722107027.82,4976417570.23599,,15.9708664319158,5791771.0,67.4563931451634,24462794.0,16.5727404229208,6010039.0,3.98796548307529,1.19865035219857,36264604.0,,6781481.0,18.7,12.1758422721427,29483123.0,81.3
2016-01-01,YR2016,China,CHN,38.549146051708,8.56294266093139,3.3,733692604492.369,117.220567045682,841.7362552,677.6427467,19.658377570703,,1.56151997957024,1.93391658320009,1.28597570796492,6.69999999999993,6894.46452231334,14400.8850630561,26001.603515625,,44.2635808837988,6.3604493433842,,25.2361420030407,23.7559196222,17.375439107137,39.8807803541086,6.30000000000008,4444730680176.98,2.0,,28.818340325356,,,20285995518.17,8342304875.92,17.7005446664063,244031214.0,72.1765545818009,995072896.0,10.1229007517928,139560890.0,146.850661963179,0.541478512050099,1378665000.0,,596465626.0,43.264,,782199374.0,56.736
2016-01-01,YR2016,Colombia,COL,45.3930293588412,6.67148294662814,1.62609123324727,22257667327.8428,126.423329656099,240.6930022,226.3544641,14.7578065819375,-1.16890913585479,4.94446285466371,1.61281580832702,49.9595994237909,2.04305973323898,7531.98257835885,13135.0098987578,26775.875,50.8,24.7049444023604,-3.40430193445285,,9.82540373645253,9.2147403639,21.7080960263352,29.7184346622525,0.658294709454736,112236396766.825,7.517452808,,11.6018573071851,3.44827586206897,41189428290.2404,45526213.6099179,4858209717.37126,23.8878114608965,11622237.0,68.7790882692129,33463378.0,7.33310026989059,3567804.0,43.8516620099144,0.876786631887371,48653419.0,4.5,9678138.0,19.892,13.3262387165783,38975281.0,80.108
2016-01-01,YR2016,Denmark,DNK,56.3115025198636,0.800789172308106,-1.16456834532374,3908376044.06058,107.401124899563,186.4266999,124.5901639,53.5840930278485,2.84005796458598,2.77911145826574,5.72317944862068,3.59253865128791,1.96407712946747,60670.2372143145,45991.2247756847,92536.8203125,,20.9773945503354,5.99639924654754,,15.6724044174006,7.7170113345,47.39002943907,20.3379345796292,3.59015918016658,67957664149.2156,0.25,,13.2697019596682,5.38470228370815,43126202975.6004,2903362923.92761,,16.5943377562865,950525.0,63.9748103510759,3664484.0,19.4308518926376,1113001.0,135.535705835029,0.780392644135167,5728010.0,,707867.0,12.358,33.7391007191807,5020143.0,87.642
2016-01-01,YR2016,Ethiopia,ETH,80.5242358915546,34.8449101621578,2.58968821835819,17489488114.711,226.758762314343,600.9959834,302.0200567,7.94801972649952,-8.14108472172961,5.46424632650681,,0.0019081080354318,7.56176669023149,511.187426515801,1608.29347611692,3488.81005859375,,37.9986855055905,10.5785687859659,23.8821738402636,17.2435008060304,6.1534753141,27.5583169021532,22.1014773463823,22.7623727427557,8304828464.70661,7.266076144,,5.57792791302277,18.3902012898343,2773357931.17135,29869539.2632146,772235946.595019,41.1006664284189,42088396.0,55.39422421933,56725456.0,3.50510935225108,3589344.0,102.403196,2.50182137816318,102403196.0,,82059777.0,80.134,,20343419.0,19.866
2016-01-01,YR2016,Finland,FIN,59.1234993772953,2.31307902286199,3.10045473336089,6606229187.88437,109.177564613377,124.8689787,93.43339587,36.0327751850324,3.52265527050164,1.88704870798974,7.66517238331147,7.67231086975305,2.13538181526189,45983.3133332131,39659.1660392991,88288.6484375,,21.8975497397728,6.28502802241793,,8.44146076250197,7.2852779778,36.7747586584049,23.3574172857586,2.15345638798408,59811008445.2402,0.3569705,,14.5365731579021,1.85517439356968,37593788191.2786,880858929.19618,84092063.4377225,16.3703868996782,899602.0,62.8442675916187,3453483.0,20.785345508703,1142218.0,18.0831978676495,0.287421401687637,5495303.0,,809183.0,14.725,21.0007739615244,4686120.0,85.275
2016-01-01,YR2016,France,FRA,60.0524272863093,1.45039325701527,-9.73890334724162,41095108202.7997,105.772580900597,153.2687706,97.38317757,30.1554630596868,1.84793318990502,1.43634149692101,2.61185755338031,2.39780862475321,1.18765038087423,41968.9815739992,38062.6397284874,93749.7734375,,22.6857784909413,1.94934230095515,,26.669379348586,6.6668940872,30.9734322668189,17.5638795854558,1.09669416766205,482356666633.145,0.183334861,,10.3109709912374,1.50418366805378,295572314087.87,12527647227.7043,627398954.759134,18.1742778082249,12151280.0,62.4795270260561,41773667.0,19.346195165719,12934821.0,122.105585354584,0.399244807338297,66859768.0,,13427447.0,20.083,23.1451317617412,53432321.0,79.917
2016-01-01,YR2016,Germany,DEU,52.3439752792884,0.553171864315135,-0.577185433938496,20954487488.8628,107.417284773731,243.0484804,155.9943583,46.1192411062165,2.63031215240382,1.66935764076614,2.62295451071848,1.7296536936629,1.94362542781317,45923.0075696152,44431.8228379944,88234.5,,19.1978817130771,2.14073185640198,,16.9051898591463,8.4256169304,38.1480256357246,27.4659436077671,1.87321456607567,1052042660382.81,0.483355422,,20.6354224646555,2.14104736141039,797484359590.959,20289740177.9681,5286297.1784984,13.0894633869742,10778999.0,65.640928159976,54054431.0,21.2696084530498,17515239.0,236.023700200631,0.807218538573871,82348669.0,,18755733.0,22.776,11.2420603998028,63592936.0,77.224
2016-01-01,YR2016,Greece,GRC,52.7588671544303,3.45722901760207,-8.7566508895809,8367209903.66287,99.9393182539128,240.1221107,186.962552,30.458732552658,-1.8204842988866,1.58844378045947,-0.818162777847834,27.5197754805325,-0.24431474084669,22687.6003260908,24211.7408896851,66972.4765625,,10.6098628583241,7.41997883325971,,11.4442841031658,4.6677097736,31.1811364663292,14.2339903997723,8.70827432986128,33391088747.1762,-0.825657581,,8.59973903712919,8.53492705431343,20401743974.8506,718239271.525227,183168203.060144,14.3466983603661,1545996.0,65.4626512332753,7054236.0,20.1906504063587,2175739.0,83.5994647013189,-0.415913028277122,10775971.0,,2329011.0,21.613,26.6970129257819,8446960.0,78.387
2016-01-01,YR2016,India,IND,51.5228471113059,16.2845948141203,6.28583327135016,348340943219.625,154.975111653744,623.8952036,443.9709283,19.3149223942124,5.37354351718096,1.9548848271548,0.221934160044368,10.7712449865161,7.11268609726157,1862.43044438379,6095.72279590336,16306.7646484375,,30.3473430441823,4.70264720515135,24.7765941020793,7.12968947378722,9.3333408142,21.0342569113491,26.5778659241198,6.77961044246895,722403473006.196,4.941447235,,15.2698550606223,7.89559025594806,419028820124.445,5622661095.68052,59083771821.771,28.1954475810236,373356040.0,65.996647968568,873908707.0,5.80790445040846,76906607.0,445.370579747678,1.14821469272737,1324171354.0,,884784815.0,66.818,,439386539.0,33.182
2016-01-01,YR2016,Iraq,IRQ,77.4702835344961,5.1,59.5999992370584,6886302607.13114,119.162133246087,215.3581943,186.4643593,32.5216609864216,,0.0853699062654169,0.177445781943759,99.98648514051,11.0000000000001,5750.61136059944,16242.0690194963,63494.8359375,,20.5551393130466,,9.2,,,40.8993339417788,37.3,18.61548442755,135590856780.465,,,2.09490527873705,5.89999999690501,1783436544.70501,349600000.0,941300000.0,40.5362484077714,15080527.0,56.3474616754992,20962705.0,3.11628991672941,1159340.0,85.6570547062074,2.96516369602359,37202572.0,,11125801.0,29.906,2.01859897726421,26076771.0,70.094
