Time,Time Code,Country Name,Country Code,CPIA economic management cluster average ,CPIA financial sector rating ,CPIA macroeconomic management rating ,Automated teller machines ,Borrowers from commercial banks ,Depth of credit information index ,Domestic credit provided by financial sector %GDP ,Domestic credit to private sector %GDP ,Market capitalization of listed companies %GDP ,Private credit bureau coverage ,Public credit registry coverage ,Informal payments to public officials ,Number of visits or required meetings with tax officials ,CPIA policies for social inclusion/equity cluster average ,CPIA property rights and rule-based governance rating ,CPIA gender equality rating ,New business density ,"Labor force participation rate, total ","Labor force, total ","Total employment, total ",Unemployment with advanced education ,Unemployment with intermediate education ,"Unemployment, total ","Unemployment, youth total ","Literacy rate, adult total ","Literacy rate, youth total ","Government expenditure on education, total %GDP ",Labor force with advanced education ,Labor force with basic education ,Labor force with intermediate education ,"Primary completion rate, total ","School enrollment, primary ","School enrollment, secondary ","School enrollment, secondary ","School enrollment, tertiary ","School enrollment, tertiary ",Individuals using the Internet ,Research and development expenditure %GDP ,Researchers in R&D ,Technicians in R&D ,Age dependency ratio ,International migrant stock ,Population ages 0-14 ,"Population ages 0-14, total ",Population ages 15-64 ,"Population ages 15-64, total ",Population ages 65 and above ,"Population ages 65 and above, total ",Population density ,Population growth ,"Population, total ",Rural population ,Rural population ,Urban population ,Urban population ,Poverty headcount ratio at $1.90 a day ,"Agriculture, value added %GDP ","Agriculture, value added annual_growth ","Agriculture, value added ",Consumer price index ,GDP growth ,GDP per capita ,"GDP per capita, PPP ",GDP per person employed ,Gross capital formation %GDP ,Gross capital formation annual_growth ,"Gross fixed capital formation, private sector %GDP ","Industry, value added %GDP ","Industry, value added annual_growth ","Industry, value added ","Inflation, consumer prices ","Manufacturing, value added %GDP ","Manufacturing, value added annual_growth ","Manufacturing, value added ",Tax revenue %GDP ,Export value index ,Export volume index ,Exports of goods and services %GDP ,Exports of goods and services annual_growth ,"Foreign direct investment, net inflows %GDP ","Foreign direct investment, net outflows %GDP ",Fuel exports ,High-technology exports ,ICT goods imports ,Imports of goods and services %GDP ,"Personal remittances, paid ","Personal transfers, receipts ","Taxes on income, profits and capital gains "
2016-01-01,YR2016,Algeria,DZA,0,0.0,0.0,8.66860435469889,39.065192136719,0,54.7527165854857,23.0174862015398,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4080009460449,11937169.0,10719466.0,0.0,0.0,10.1999998092651,24.2569999694824,0.0,0.0,0.0,0.0,0.0,0.0,105.446876525879,113.646507263184,0.0,0.0,42.663688659668,1.67122995853424,42.9455268800332,0.0,0.0,0.0,53.9078874261101,0.0,29.0052379384236,11777882.0,64.973928024325,26383347.0,6.02083403725139,2444823.0,17.0488949050296,1.82546343244561,40606052.0,11589373.0,28.541,29016679.0,71.459,0.0,12.295779686707,1.80000000238283,19614853192.7692,134.844870195013,3.29999999975597,4827.72425138732,13921.1800218255,52936.99609375,50.709062631992,4.25230333057138,0.0,34.8749084425281,5.34460249251212,96148989584.4132,6.397714109,5.60536130360169,0.0,0.0,0.0,131.0999178,144.9360226,21.0017584940326,7.90000000226179,1.02947518020851,0.0294232818669463,93.9921282481577,0.343523928820444,5.1810220711,35.2702837924584,58970227.8597211,16968009.5282417,0.0
2016-01-01,YR2016,Argentina,ARG,0,0.0,0.0,60.1037381390599,393.196311620749,8,38.1148083394719,13.7334129260203,11.4625324986418,100.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,59.9640007019043,19704082.0,18049589.0,0.0,0.0,8.69600009918213,23.5279998779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9689808206024,0.0,0.0,0.0,56.5422464275751,0.0,25.0586568015503,10987577.0,63.8805193371653,28009966.0,11.0608238612845,4849887.0,16.0220668033281,0.984741905647839,43847430.0,3671345.0,8.373,40176085.0,91.627,0.6,6.35390413957503,-4.53815894977147,30306711326.5758,0.0,-1.82254217028903,10206.2495504416,18584.580004917,45039.30859375,17.0270224716302,-3.53011223498821,0.0,22.1874978578954,-5.52942493474478,102971969356.105,0.0,13.6009428617082,-5.19941824629092,64594492438.2642,12.1555053704666,219.1746707,124.3660983,12.5838323891873,5.29266934793135,0.587564212452168,0.321978137189706,2.53245061230712,8.79281472735163,8.478811845,13.5380814169803,823565671.520054,352639302.322353,21.8648726250116
2016-01-01,YR2016,Australia,AUS,0,0.0,0.0,168.0283162457,0.0,7,182.772402132277,142.518425789207,105.004349206589,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5091237778664,64.8929977416992,12741985.0,12013120.0,0.0,0.0,5.71999979019165,12.6700000762939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.340301513672,153.848266601563,0.867259979248047,121.859008789063,1.43008995056152,88.2386580521762,0.0,0.0,0.0,51.8630483195639,0.0,18.8983035953804,4575432.0,65.8488024959786,15942528.0,15.2528939086411,3692849.0,3.15150527836716,1.49820974240174,24210809.0,3437935.0,14.2,20772874.0,85.8,0.0,2.4305798250667,-6.39097744360903,25061674224.3606,113.475546305931,2.82731051096303,55731.4955736202,44493.4808943831,89515.015625,25.295492177652,-4.18131522463177,0.0,22.258261609396,0.811625844306477,329346874863.039,1.276990945,6.06747151730172,-2.36202148702634,84941300222.8155,22.2892931084765,299.2810441,165.1456124,19.2530266256288,6.86528627377531,3.52471986219263,-0.20730251757587,27.6539209096296,14.7815586115506,9.9972448891,21.5184465691816,6309637353.01638,0.0,71.6682796541899
2016-01-01,YR2016,Austria,AUT,0,0.0,0.0,116.058588713345,0.0,7,129.889612397413,84.1801847579084,30.9561751988113,53.6,2.3,0.0,0.0,0.0,0.0,0.0,0.595666297009536,60.4280014038086,4535197.0,4262611.0,3.37369990348816,5.38800001144409,6.01000022888184,11.2449998855591,0.0,0.0,0.0,77.8626022338867,30.7954998016357,59.5407981872559,99.6567230224609,102.264358520508,100.963020324707,0.961210012435913,83.4552764892578,1.18810999393463,84.3233312921004,0.0,0.0,0.0,49.5298368459148,0.0,14.0962544551354,1231543.0,66.8762899389668,5842759.0,19.0274556058978,1662366.0,105.869490929801,1.08139629872802,8736668.0,3677700.0,42.095,5058968.0,57.905,0.0,1.10158899771897,2.66138021888933,5366899002.92791,111.675470271742,1.45091543821485,48077.8783610298,44464.3502683082,90842.6328125,24.1181440245785,3.47954498132232,0.0,24.7109938009083,1.17067848325405,108241303758.959,0.891590693,16.2069768397641,1.29132987519694,74048756769.5873,25.6665724682797,225.3503917,149.8618785,52.2618340403307,1.91540868438524,-7.66336096729233,-7.32537674811396,1.70589776180728,17.5747647786539,7.4494258902,48.9051786808671,4523562276.56779,300808432.749612,46.0835840982735
2016-01-01,YR2016,Belgium,BEL,0,0.0,0.0,88.2275478229239,698.712685514165,5,153.690188455693,64.4874485896579,80.8785976574384,0.0,95.3,0.0,0.0,0.0,0.0,0.0,3.72032972869501,53.2330017089844,5004722.0,4612772.0,4.3899998664856,8.25269985198975,7.82999992370605,20.0900001525879,0.0,0.0,0.0,75.0233001708984,21.7119998931885,51.4063987731934,0.0,0.0,0.0,0.0,0.0,0.0,86.5165,0.0,0.0,0.0,54.7983939052332,0.0,17.0312418699887,1929882.0,64.6001511307203,7320116.0,18.368606999291,2081424.0,374.221334214003,0.506300002451376,11331422.0,235807.0,2.081,11095615.0,97.919,0.0,0.61749191345839,-9.09447435959203,3281171794.43556,110.773882150291,1.41229201545339,45457.8993419591,42083.6443038217,102947.125,23.9515886339849,4.64887898232624,0.0,19.7909233893634,0.703243023081583,109101223156.193,1.972249752,12.7422650265829,0.349411429841282,71400477359.5596,23.1360261343397,211.7955741,144.7300771,82.9377757420786,7.51720407031749,7.9164959229974,6.14270247407187,6.82584136026284,12.536063077866,3.0037730284,81.6069268870647,3890062783.89885,79716874.0421988,54.6118857806665
2016-01-01,YR2016,Bangladesh,BGD,3.83333,2.5,4.0,7.76732260536525,73.0280149778907,0,61.4430090491249,45.2795104427428,31.8042467185294,0.0,0.9,0.0,0.0,3.5,2.5,3.5,0.0,56.435001373291,65383994.0,62539699.0,16.7800006866455,16.2000007629395,4.34999990463257,11.0790004730225,72.7587203979492,92.2426528930664,2.50031995773315,52.8800010681152,34.8600006103516,28.3500003814697,0.0,118.573509216309,68.9809722900391,1.10482001304626,17.33251953125,0.701279997825623,18.2469380029449,0.0,0.0,0.0,51.4654234704502,0.0,28.9008537261012,47094392.0,66.0216686480326,107583339.0,5.07747762586624,8273829.0,1251.83652147192,1.08016523912062,162951560.0,105783264.0,64.917,57168296.0,35.083,14.8,14.0455478408371,2.78626575012358,23953859576.1649,152.324266432058,7.11346522765494,1029.57797933458,3319.35280468543,8648.796875,29.652568750791,8.90937215069245,22.9877860561105,27.3461207595266,11.0937753711692,49589945623.8922,5.513525727,17.0302488303033,11.6908152010428,33231001182.1894,8.76502866324685,547.3686023,475.7667992,16.6497168819452,2.1967496434186,1.0509521880987,0.0182669952038158,0.0,0.0,0.0,21.3045838515747,41124317.5239393,13518741980.8852,29.6788380759254
2016-01-01,YR2016,Brazil,BRA,0,0.0,0.0,111.419480595594,549.234323350206,7,111.327117483136,62.2698821195814,42.2833639206053,78.9,53.4,0.0,0.0,0.0,0.0,0.0,0.127907398520538,63.8359985351563,103214044.0,91229860.0,7.13500022888184,15.9692001342773,11.6099996566772,27.25,0.0,0.0,0.0,77.3934020996094,35.907398223877,64.9431991577148,0.0,0.0,0.0,0.0,0.0,0.0,60.8725400681261,0.0,0.0,0.0,43.6443157926871,0.0,22.1362691046907,45966597.0,69.6163989839485,144560447.0,8.24733191136082,17125821.0,24.844387028693,0.817555711392756,207652865.0,28984187.0,13.958,178668678.0,86.042,0.0,4.89138608590072,-4.31146923784834,102493376407.802,150.482602233368,-3.46816285562616,10868.6534435351,14077.1214085544,31919.783203125,15.3872398501635,0.0,0.0,18.2787914324856,-3.96007093571662,483812026283.053,8.739478523,10.3085269326859,-5.57275920678872,237988187749.806,12.8508409027201,336.1458429,215.5356645,12.4946188451866,1.91579365583262,4.36169775270045,0.714395993147449,6.34469227953539,13.4487063167767,8.4376375676,12.0796638879327,1385076006.47,2365066659.73,49.9783151339113
2016-01-01,YR2016,Canada,CAN,0,0.0,0.0,222.989158097898,0.0,8,0.0,0.0,129.80626482581,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638817648195279,65.390998840332,19926490.0,18531444.0,4.99329996109009,7.28049993515015,7.0,13.085000038147,0.0,0.0,0.0,72.7596969604492,36.766300201416,56.4147987365723,0.0,101.433990478516,113.040092468262,1.01467001438141,0.0,0.0,91.16,0.0,0.0,0.0,48.2439168641162,0.0,15.9708664319158,5791771.0,67.4563931451634,24462794.0,16.5727404229208,6010039.0,3.98796548307529,1.19865035219857,36264604.0,6781481.0,18.7,29483123.0,81.3,0.0,0.0,3.89353412326656,26413479840.517,110.224670864339,1.41410274557691,50407.3413301242,43238.2596047198,84310.8125,23.1849967526502,-3.85380920890056,0.0,0.0,-0.805721557112875,479238620312.456,1.428759547,0.0,0.481523908401257,181722107027.82,12.1758422721427,141.1089588,113.9342388,30.9678772747415,0.998541517171688,2.25372888493377,4.61003183929919,18.2840268524269,12.9347142393499,7.073490373,33.3842297689125,4976417570.23599,0.0,77.7194964493222
2016-01-01,YR2016,China,CHN,0,0.0,0.0,81.4514790150893,383.703539785131,8,215.182680594683,156.820241860039,65.4163457524511,21.3,91.1,0.0,0.0,0.0,0.0,0.0,0.0,69.3659973144531,787050042.0,750458119.0,0.0,0.0,4.64900016784668,10.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.853813171387,0.0,0.0,48.4410514831543,1.20626997947693,53.2,0.0,0.0,0.0,38.549146051708,0.0,17.7005446664063,244031214.0,72.1765545818009,995072896.0,10.1229007517928,139560890.0,146.850661963179,0.541478512050099,1378665000.0,596465626.0,43.264,782199374.0,56.736,0.0,8.56294266093139,3.3,733692604492.369,117.220567045682,6.69999999999993,6894.46452231334,14400.8850630561,26001.603515625,44.2635808837988,6.3604493433842,0.0,39.8807803541086,6.30000000000008,4444730680176.98,2.0,28.818340325356,0.0,0.0,0.0,841.7362552,677.6427467,19.658377570703,0.0,1.56151997957024,1.93391658320009,1.28597570796492,25.2361420030407,23.7559196222,17.375439107137,20285995518.17,8342304875.92,0.0
2016-01-01,YR2016,Colombia,COL,0,0.0,0.0,41.1194004015319,236.403148028059,7,53.690741753918,47.5135008844674,37.0660316547257,92.1,0.0,0.0,0.0,0.0,0.0,0.0,2.28108192264839,70.265998840332,26020330.0,23847712.0,12.832799911499,13.144700050354,8.35000038146973,17.1919994354248,0.0,0.0,4.48296022415161,75.3788986206055,46.6754989624023,62.7806015014648,101.393928527832,113.988166809082,98.1463775634766,1.06380999088287,58.7218399047852,1.15955996513367,58.1364935728703,0.0,0.0,0.0,45.3930293588412,0.0,23.8878114608965,11622237.0,68.7790882692129,33463378.0,7.33310026989059,3567804.0,43.8516620099144,0.876786631887371,48653419.0,9678138.0,19.892,38975281.0,80.108,4.5,6.67148294662814,1.62609123324727,22257667327.8428,126.423329656099,2.04305973323898,7531.98257835885,13135.0098987578,26775.875,24.7049444023604,-3.40430193445285,0.0,29.7184346622525,0.658294709454736,112236396766.825,7.517452808,11.6018573071851,3.44827586206897,41189428290.2404,13.3262387165783,240.6930022,226.3544641,14.7578065819375,-1.16890913585479,4.94446285466371,1.61281580832702,49.9595994237909,9.82540373645253,9.2147403639,21.7080960263352,45526213.6099179,4858209717.37126,35.2300230074925
